"Carimbo de data/hora","Nome (operador)","#TICKET","CONTRATO"
"2023/05/10 11:49:59 AM GMT-3","arian","Ticket: #51254","CAASC 0025"
"2023/05/10 11:54:21 AM GMT-3","Natalia","Ticket: #51342","PJ COLETIVO EMPRESARIAL"
"2023/05/10 11:54:28 AM GMT-3","Marina","#51257","PJ COLETIVO EMPRESARIAL"
"2023/05/10 11:54:32 AM GMT-3","estela","Ticket: #51315","INTERCAMBIO"
"2023/05/10 11:54:45 AM GMT-3","Sara zimmermann","Ticket: #51171","PJ COLETIVO ADESÃO"
"2023/05/10 11:54:51 AM GMT-3","Davi","Ticket #51328","INTERCAMBIO"
"2023/05/10 11:56:15 AM GMT-3","Natalia","Ticket: #51325","CAASC 0976"
"2023/05/10 11:58:54 AM GMT-3","Davi","Ticket #51186","INTERCAMBIO"
"2023/05/10 11:59:24 AM GMT-3","estela","Ticket: #51338","PF"
"2023/05/10 12:00:51 PM GMT-3","Davi","Ticket #51216","PJ COLETIVO EMPRESARIAL"
"2023/05/10 12:01:10 PM GMT-3","estela","Ticket: #51346","PF"
"2023/05/10 12:01:59 PM GMT-3","Sara zimmermann ","Ticket: #51182","PJ COLETIVO ADESÃO"
"2023/05/10 12:02:11 PM GMT-3","estela","Ticket: #51347","PF"
"2023/05/10 12:02:17 PM GMT-3","VAL ","Ticket #51195","PF"
"2023/05/10 12:03:10 PM GMT-3","Natalia","Ticket: #51348","PJ COLETIVO ADESÃO"
"2023/05/10 12:03:58 PM GMT-3","Milenna Evellin","Ticket #51343","UFSC"
"2023/05/10 12:04:07 PM GMT-3","Davi","Ticket #51222","PJ COLETIVO EMPRESARIAL"
"2023/05/10 12:05:57 PM GMT-3","Sara zimmermann","Ticket:#51159","PF"
"2023/05/10 12:07:14 PM GMT-3","estela","Ticket: #51350","PJ COLETIVO ADESÃO"
"2023/05/10 12:08:06 PM GMT-3","VAL","Ticket #51349","UFSC"
"2023/05/10 12:08:13 PM GMT-3","Davi","Ticket #51224","PF"
"2023/05/10 12:09:38 PM GMT-3","Érika Mainardi ","Ticket #51351","PJ COLETIVO EMPRESARIAL"
"2023/05/10 12:09:45 PM GMT-3","Sara zimmermann","Ticket: #51237","PF"
"2023/05/10 12:10:11 PM GMT-3","arian","Ticket: #51255","INTERCAMBIO"
"2023/05/10 12:10:21 PM GMT-3","Davi","Ticket #51225","PJ COLETIVO EMPRESARIAL"
"2023/05/10 12:10:31 PM GMT-3","Érika Mulassani Mainardi ","Ticket: #51354","PJ COLETIVO EMPRESARIAL"
"2023/05/10 12:11:31 PM GMT-3","Érika Mulassani Mainardi ","Ticket: #51353","PJ COLETIVO EMPRESARIAL"
"2023/05/10 12:15:28 PM GMT-3","Milenna ","Ticket #51119","UFSC"
"2023/05/10 12:15:28 PM GMT-3","VAL ","Ticket #51196","INTERCAMBIO"
"2023/05/10 12:16:09 PM GMT-3","SARAH MORGANA","Ticket: #51316","PJ COLETIVO EMPRESARIAL"
"2023/05/10 12:16:48 PM GMT-3","SARAH MORGANA","Ticket: #51329","PF"
"2023/05/10 12:17:42 PM GMT-3","VAL ","Ticket #51197","PJ COLETIVO ADESÃO"
"2023/05/10 12:18:13 PM GMT-3","SARAH MORGANA","Ticket: #51330","PJ COLETIVO EMPRESARIAL"
"2023/05/10 12:18:27 PM GMT-3","arian","Ticket: #51234","INTERCAMBIO"
"2023/05/10 12:18:33 PM GMT-3","Sara zimmermann","Ticket #51247","PJ COLETIVO EMPRESARIAL"
"2023/05/10 12:18:34 PM GMT-3","Marina","#51249","UFSC"
"2023/05/10 12:19:06 PM GMT-3","Val ","Ticket #51226","PJ COLETIVO ADESÃO"
"2023/05/10 12:19:23 PM GMT-3","Renato ","Ticket: #51278","PF"
"2023/05/10 12:19:31 PM GMT-3","SARAH MORGANA","Ticket: #51333","PJ COLETIVO EMPRESARIAL"
"2023/05/10 12:19:36 PM GMT-3","Davi","Ticket #51308","PJ COLETIVO EMPRESARIAL"
"2023/05/10 12:19:56 PM GMT-3","Milenna","Ticket #51298","PJ COLETIVO EMPRESARIAL"
"2023/05/10 12:20:19 PM GMT-3","VAL ","Ticket #51228","INTERCAMBIO"
"2023/05/10 12:21:21 PM GMT-3","Marina"," #51243","PF"
"2023/05/10 12:21:47 PM GMT-3","VAL ","Ticket #51230","PJ COLETIVO EMPRESARIAL"
"2023/05/10 12:22:30 PM GMT-3","SARAH MORGANA","Ticket: #51334","UFSC"
"2023/05/10 12:23:10 PM GMT-3","SARAH MORGANA","Ticket: #51335","UFSC"
"2023/05/10 12:23:57 PM GMT-3","Renato","Ticket: #51279","PF"
"2023/05/10 12:23:58 PM GMT-3","Davi","Ticket #51305","PJ COLETIVO EMPRESARIAL"
"2023/05/10 12:24:02 PM GMT-3","VAL ","Ticket #51258","PJ COLETIVO ADESÃO"
"2023/05/10 12:25:49 PM GMT-3","VAL ","Ticket #51260","PF"
"2023/05/10 12:28:20 PM GMT-3","VAL","Ticket #51275","UFSC"
"2023/05/10 12:29:41 PM GMT-3","VAL ","Ticket #51276","PJ COLETIVO ADESÃO"
"2023/05/10 12:30:08 PM GMT-3","VAL","Ticket #51277","INTERCAMBIO"
"2023/05/10 12:30:26 PM GMT-3","Davi","Ticket #51309","PF"
"2023/05/10 12:31:19 PM GMT-3","VAL ","Ticket #51294","PJ COLETIVO ADESÃO"
"2023/05/10 12:31:34 PM GMT-3","Renato","Ticket: #51282","PF"
"2023/05/10 12:32:04 PM GMT-3","Davi","Ticket #51313","PJ COLETIVO EMPRESARIAL"
"2023/05/10 12:32:06 PM GMT-3","VAL","Ticket #51317","INTERCAMBIO"
"2023/05/10 12:33:23 PM GMT-3","VAL","Ticket #51318","PJ COLETIVO ADESÃO"
"2023/05/10 12:34:59 PM GMT-3","VAL ","Ticket #51319","PJ COLETIVO ADESÃO"
"2023/05/10 12:37:32 PM GMT-3","juliana"," #51150","PF"
"2023/05/10 12:39:10 PM GMT-3","Renato","Ticket: #51289","PF"
"2023/05/10 12:39:43 PM GMT-3","Caleb Dias ","Ticket: #51376","PJ COLETIVO EMPRESARIAL"
"2023/05/10 12:41:07 PM GMT-3"," SARAH MORGANA","Ticket: #51384","PF"
"2023/05/10 12:41:33 PM GMT-3","juliana","#51165","PJ COLETIVO EMPRESARIAL"
"2023/05/10 12:46:12 PM GMT-3","Renato","Ticket: #51300","PF"
"2023/05/10 12:48:43 PM GMT-3","Davi","Ticket #51314","PJ COLETIVO EMPRESARIAL"
"2023/05/10 12:50:13 PM GMT-3","Renato","Ticket: #51322","PF"
"2023/05/10 12:50:59 PM GMT-3","Caleb Dias ","Ticket: #51378","CAASC 0025"
"2023/05/10 12:52:02 PM GMT-3","estela","Ticket: #51389","PF"
"2023/05/10 12:52:50 PM GMT-3","juliana"," #51214","UFSC"
"2023/05/10 12:53:24 PM GMT-3","Caleb Dias ","Ticket: #51379","INTERCAMBIO"
"2023/05/10 1:00:13 PM GMT-3","VAL","Ticket #51396","PJ COLETIVO EMPRESARIAL"
"2023/05/10 1:00:44 PM GMT-3","Caleb Dias ","Ticket: #51379","INTERCAMBIO"
"2023/05/10 1:00:51 PM GMT-3","Mallone Almeida","Ticket: #51380","PJ COLETIVO EMPRESARIAL"
"2023/05/10 1:01:00 PM GMT-3","Davi","Ticket #51320","PF"
"2023/05/10 1:01:47 PM GMT-3","Renato","Ticket: #51312","PF"
"2023/05/10 1:03:43 PM GMT-3","VAL","Ticket #51398","PJ COLETIVO EMPRESARIAL"
"2023/05/10 1:05:07 PM GMT-3","SARAH MORGANA","Ticket: #51388","PJ COLETIVO EMPRESARIAL"
"2023/05/10 1:05:32 PM GMT-3","Renato","Ticket: #51322","PJ COLETIVO EMPRESARIAL"
"2023/05/10 1:06:03 PM GMT-3","SARAH MORGANA","Ticket: #51390","PJ COLETIVO ADESÃO"
"2023/05/10 1:10:21 PM GMT-3","Caleb Dias ","Ticket: #51385","PF"
"2023/05/10 1:12:50 PM GMT-3","juliana","#51165","PJ COLETIVO EMPRESARIAL"
"2023/05/10 1:14:01 PM GMT-3","Renato","Ticket: #51363","PF"
"2023/05/10 1:14:37 PM GMT-3","Mallone Almeida","Ticket: #51394","UFSC"
"2023/05/10 1:15:01 PM GMT-3","estela","Ticket: #51408","INTERCAMBIO"
"2023/05/10 1:16:31 PM GMT-3","Davi","Ticket #51321","PJ COLETIVO EMPRESARIAL"
"2023/05/10 1:17:10 PM GMT-3","Renato","Ticket: #51365","PF"
"2023/05/10 1:19:43 PM GMT-3","estela","Ticket: #51413","PJ COLETIVO EMPRESARIAL"
"2023/05/10 1:20:04 PM GMT-3","juliana","#51209","PJ COLETIVO EMPRESARIAL"
"2023/05/10 1:22:24 PM GMT-3","Renato","Ticket: #51372","PF"
"2023/05/10 1:25:46 PM GMT-3","Davi","Ticket #51324","PJ COLETIVO EMPRESARIAL"
"2023/05/10 1:26:03 PM GMT-3","Mallone Almeida","Ticket: #51383","PJ COLETIVO ADESÃO"
"2023/05/10 1:27:51 PM GMT-3","juliana","#51181","PJ COLETIVO EMPRESARIAL"
"2023/05/10 1:29:25 PM GMT-3","juliana","#51211","PF"
"2023/05/10 1:30:09 PM GMT-3","Caleb Dias ","Ticket: #51419","PJ COLETIVO EMPRESARIAL"
"2023/05/10 1:30:20 PM GMT-3","Renato","Ticket: #51393","PF"
"2023/05/10 1:32:34 PM GMT-3","Natalia","Ticket: #51415","PJ COLETIVO EMPRESARIAL"
"2023/05/10 1:33:48 PM GMT-3","arian","Ticket: #51361","PJ COLETIVO EMPRESARIAL"
"2023/05/10 1:34:44 PM GMT-3","Caleb Dias ","Ticket: #51419","PJ COLETIVO EMPRESARIAL"
"2023/05/10 1:38:49 PM GMT-3","Renato ","Ticket: #51393","PF"
"2023/05/10 1:40:41 PM GMT-3","juliana","#51242","PJ COLETIVO EMPRESARIAL"
"2023/05/10 1:41:42 PM GMT-3","Renato","Ticket: #51395","PF"
"2023/05/10 1:41:51 PM GMT-3","estela","Ticket: #51442","PF"
"2023/05/10 1:43:36 PM GMT-3","Caleb Dias ","Ticket: #51404","PF"
"2023/05/10 1:44:06 PM GMT-3","estela","Ticket: #51448","PJ COLETIVO EMPRESARIAL"
"2023/05/10 1:46:34 PM GMT-3","arian","Ticket: #51362","PJ COLETIVO ADESÃO"
"2023/05/10 1:46:44 PM GMT-3","estela","Ticket: #51450","INTERCAMBIO"
"2023/05/10 1:48:09 PM GMT-3","Milenna","Ticket #51299","PJ COLETIVO EMPRESARIAL"
